ip,port,state,service
192.168.0.103,135,open,msrpc
192.168.0.103,139,open,netbios-ssn
192.168.0.103,445,open,microsoft-ds
192.168.0.103,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.103,135,open,msrpc
192.168.0.103,139,open,netbios-ssn
192.168.0.103,445,open,microsoft-ds
192.168.0.103,7070,open,realserver
192.168.0.103,8080,open,http-proxy
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.103,135,open,msrpc
192.168.0.103,139,open,netbios-ssn
192.168.0.103,445,open,microsoft-ds
192.168.0.103,7070,open,realserver
192.168.0.103,8080,open,http-proxy
192.168.0.100,5060,filtered,sip
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.103,135,open,msrpc
192.168.0.103,139,open,netbios-ssn
192.168.0.103,445,open,microsoft-ds
192.168.0.103,7070,open,realserver
192.168.0.103,8080,open,http-proxy
192.168.0.100,5060,filtered,sip
192.168.111.89,135,open,msrpc
192.168.111.89,139,open,netbios-ssn
192.168.111.89,445,open,microsoft-ds
192.168.111.89,7070,open,realserver
192.168.111.89,8080,open,http-proxy
192.168.111.94,53,open,domain
192.168.250.89,135,open,msrpc
192.168.250.89,139,open,netbios-ssn
192.168.250.89,445,open,microsoft-ds
192.168.250.89,7070,open,realserver
192.168.250.89,8080,open,http-proxy
192.168.250.139,53,open,domain
192.168.250.89,135,open,msrpc
192.168.250.89,139,open,netbios-ssn
192.168.250.89,445,open,microsoft-ds
192.168.250.89,7070,open,realserver
192.168.250.89,8080,open,http-proxy
192.168.250.139,53,open,domain
192.168.250.89,135,open,msrpc
192.168.250.89,139,open,netbios-ssn
192.168.250.89,445,open,microsoft-ds
192.168.250.89,7070,open,realserver
192.168.250.89,8080,open,http-proxy
192.168.250.139,53,open,domain
192.168.250.89,135,open,msrpc
192.168.250.89,139,open,netbios-ssn
192.168.250.89,445,open,microsoft-ds
192.168.250.89,7070,open,realserver
192.168.250.89,8080,open,http-proxy
192.168.250.139,53,open,domain
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.250.89,135,open,msrpc
192.168.250.89,139,open,netbios-ssn
192.168.250.89,445,open,microsoft-ds
192.168.250.89,7070,open,realserver
192.168.250.139,53,open,domain
192.168.250.243,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
192.168.0.1,23,open,telnet
192.168.0.1,53,open,domain
192.168.0.1,80,open,http
192.168.0.1,1900,open,upnp
192.168.0.101,135,open,msrpc
192.168.0.101,139,open,netbios-ssn
192.168.0.101,445,open,microsoft-ds
192.168.0.101,7070,open,realserver
